title,description,text,date
El Salvador becomes first country to adopt Bitcoin as an official currency,"Bitcoin is an official currency of El Salvador alongside the US dollar, after it became the first country to adopt the cryptocurrency as legal tender. The country has purchased 400 bitcoins, or around $20.9 million.","A recently-installed Bitcoin ATM.

 

 As of today, Bitcoin is an official currency of El Salvador alongside the US dollar, after the Central American country became the first to adopt the cryptocur… [+2716 chars]",2021-09-07T08:58:53Z
Major New York Real Estate Company Now Accepting BTC as Payment,Magnum Real Estate is set to accept bitcoin as payment for a three-store retail condominium in Manhattan's East Side.,"Magnum Real Estate is set to accept bitcoin as payment for a three-store retail condominium in Manhattans East Side.
Major real-estate opportunity for bitcoin investors
Magnum Real Estate is accept… [+1762 chars]",2021-09-19T14:37:34Z
SEC Postpones VanEck Bitcoin ETF Decision Yet Again,The U.S. Securities and Exchange Commission (SEC) has continued to drag its feet over approving a bitcoin exchange-traded fund (ETF).,"The U.S. Securities and Exchange Commission (SEC) has continued to drag its feet over approving a bitcoin exchange-traded fund (ETF).
The SEC filed a notice on Sept 8 stating that it has now designa… [+2392 chars]",2021-09-10T09:54:32Z
Coinbase is giving some customers bitcoin worth $100 after sending them security-alert emails by mistake,Coinbase's email alert about a change in two-factor authentication settings had some customers worried their accounts had been hacked.,"Shannon Stapleton/Reuters
Coinbase is handing out bitcoin worth $100 to customers who took a hit after the crypto exchange mistakenly sent them a notification alerting them to a change in their secu… [+1990 chars]",2021-08-31T14:24:25Z
Here's how much electricity it takes to mine Bitcoin and why people are worried - CNET,Cryptocurrency takes a lot of energy to keep things running.,"A lot of energy and money comes from these mining rigs. 
Getty Images
Tesla CEO Elon Musk shook the crypto market when he said his company would no longer accept Bitcoin for vehicle purchases. His … [+6869 chars]",2021-08-31T20:45:00Z
"The 4 riskiest ways to invest $1,000 and where to put your money instead, according to financial planners","Financial pros recommend against investing in NFTs, options, crypto, and meme stocks. Instead, they suggested choosing a diversified index fund.","When you buy through our links, Insider may earn an affiliate commission. Learn more.
After getting married earlier this year, my husband and I decided to take $1,000 of our wedding money and invest… [+4346 chars]",2021-09-01T15:28:25Z
El Bitcoin no convence a El Salvador: las protestas estallan entre los ciudadanos ante la entrada en vigor de la criptomoneda,"En junio de este año El Salvador hizo historia al aprobar una ley para ser el primer país del mundo con el Bitcoin como moneda nacional. La nueva ley entrará en vigor el próximo 7 de septiembre, sin embargo, no es algo que convenza a todos. Los salvadoreños h…","En junio de este año El Salvador hizo historia al aprobar una ley para ser el primer país del mundo con el Bitcoin como moneda nacional. La nueva ley entrará en vigor el próximo 7 de septiembre, sin … [+2424 chars]",2021-09-01T20:34:42Z
McDonald's Accepts Bitcoin In El Salvador As Crypto Becomes Official Currency,"The massive chain now accepts cryptocurrency, along with Panda Express, as the controversial Bitcoin Law comes into effect with more on the way.","El Salvador's ""Bitcoin Law"" went into effect on Tuesday, marking the launch of the historic and controversial bid to make the Latin American country the first in the world to make cryptocurrency offi… [+3029 chars]",2021-09-07T16:34:45Z
Pourquoi le cours du Bitcoin (BTC) risque bientôt de replonger,Le président de la Securities and Exchange Commission (SEC) - l'équivalent américain de l'autorité des marchés financiers - promet une ère de répression contre le Bitcoin et l'ensemble des cryptomonnaies.,"A en croire un article de Bloomberg, l’industrie des cryptomonnaies est désormais valorisée à plus de 2000 milliards de dollars – en grande partie grâce à la popularité du Bitcoin (BTC) et d’autres c… [+3435 chars]",2021-08-25T08:52:23Z
7 Things to Consider When Choosing a Health Insurance Plan,Shopping for the right health insurance plan is tricky—we're here to help.,"Bitcoin (CRYPTO: BTC), Ethereum's (CRYPTO: ETH) Ether token, and Dogecoin (CRYPTO: DOGE) were up roughly 3.1%, 6%, and 3.8%, respectively, as of 4:15 p.m. EDT on Wednesday. Top cryptocurrencies fell … [+348 chars]",2021-09-16T14:51:59Z
