Text,Pos,Neg,Neu,Compound
"Vitalik Buterin
Vitalik Buterin dreamed up ethereum in 2013.
Getty Images/John Phillips
Vitalik Buterin has compared the eight founders of the ethereum blockchain to JRR Tolkien's close-knit ""fell… [+5139 chars]",0.0,0.0,1.0,0.0
"Illustration by Alex Castro / The Verge

 


 Collectors have lost hundreds of thousands of dollars worth of NFTs; sometimes, the community helps claw them back Last month, Jeff Nicholas popped into… [+9775 chars]",0.126,0.064,0.81,0.296
"This Tuesday, the 'altcoin' Solana (SOL) became the seventh cryptocurrency with the highest market capitalization above Dogecoin , Elon Musk's favorite. This currency, rival of Ethereum , has grown m… [+4452 chars]",0.094,0.0,0.906,0.4588
"Hello friends, and welcome back to Week in Review! Last week we dove into Bezos’s Blue Origin suing NASA. This week, I’m writing about the unlikely and triumphant resurgence of the NFT market.
If yo… [+6983 chars]",0.218,0.047,0.735,0.8268
"The search for status online has branched into some truly mind-bending directions lately, with people dropping millions of dollars worth of cryptocurrency on NFTs of Cryptopunks and free clipart rock… [+2003 chars]",0.218,0.0,0.782,0.7964
"Ether 
 ETHUSD,
 +0.51%
broke above $3,400 on Tuesday for the first time since May, as the mainnet of Ethereum layer 2 scaling solution Arbitrum One, which aims to allow the networks users to tran… [+1661 chars]",0.108,0.072,0.821,0.1027
"Bitcoin (CRYPTO: BTC), Ethereum's (CRYPTO: ETH) Ether token, and Dogecoin (CRYPTO: DOGE) were up roughly 3.1%, 6%, and 3.8%, respectively, as of 4:15 p.m. EDT on Wednesday. Top cryptocurrencies fell … [+348 chars]",0.123,0.0,0.877,0.4939
"OpenSea, the largest marketplace for nonfungible tokens, or NFT, has recorded a $3.4 billion transaction volume on Ethereum in August, more than 10 times the number in July, according to Dune Analyti… [+1970 chars]",0.039,0.0,0.961,0.0772
"CREAM Finance, a decentralized loan platform, lost at least $18m in cryptocurrency on Monday to an unidentified thief.
The biz's name stands for Crypto Rules Everything Around Me, which evidently ov… [+3341 chars]",0.0,0.16,0.84,-0.6908
"A clip art NFT JPEG of a rock sold for $608,000 USD just days before the collection’s price floor surpassed $1 million USD.
According to a new tweet from Twitter account EtherRock Price on August 22… [+1485 chars]",0.0,0.0,1.0,0.0
"Listen to Odd Lots on Spotify Listen to Odd Lots on Apple Podcasts
Joe Weisenthal and Tracy Alloway analyze the weird patterns, the complex issues and the newest market crazes. Join the conversation… [+867 chars]",0.086,0.159,0.756,-0.4404
"August
25, 2021
5 min read
This story originally appeared on ZacksIn an act of showing support and being the first mover in the burgeoning non-fungible token (NFT) market, Visa Inc. V bought a Cry… [+5507 chars]",0.076,0.0,0.924,0.4019
"Had you invested just $5,000 in Ethereum (CRYPTO:ETH) at the beginning of the year, your investment would be worth more than $22,360 as of Aug. 28. Its namesake network is advancing far beyond the re… [+6416 chars]",0.05,0.0,0.95,0.2263
"In the near future, Ethereum will transition to a new Proof of Stake consensus protocol. Instead of the miners used today, Ethereum 2.0, relies on validators to create and validate the blocks of tran… [+11252 chars]",0.119,0.049,0.831,0.4019
Artist Tyler Hobbs‘ Fidenza line consists of 999 unique Art Blocks depicting a pattern of colorful squares and rectangles which are generated via an algorithm. The series’ Fidenza #313 recently sold … [+1342 chars],0.0,0.058,0.942,-0.2263
"NEW YORK, NY - APRIL 14: Monitors display Coinbase signage during the company's initial public ... [+] offering (IPO) at the Nasdaq market site April 14, 2021 in New York City. 
Getty Images
If you… [+5046 chars]",0.0,0.0,1.0,0.0
"fragment design and Japanese art collective Rhizomatiks have teamed up to launch the “FRGMTRZM NFT” online marketplace for generative NFT art. For its debut, FRGMTRZM introduces “Test #01,” a collabo… [+906 chars]",0.0,0.0,1.0,0.0
"Ethereum(CRYPTO:ETH)- the world's second-largest cryptocurrency, and the most popular smart contract and decentralized application network -- just changed the way it pays the people who maintain its … [+5465 chars]",0.184,0.0,0.816,0.7245
"In an ironic turn of events, Pranksy (an avid NFT collector) was recently tricked into purchasing a fake BanksyNFT for $336,000 USD worth of Ethereum. Initially, there was a link on Banksy’s official… [+883 chars]",0.107,0.162,0.731,-0.2732
"“DRIP CASCADE (2021), concept and direction by Jen Stark, animation by David Lewandowski, and sound by Charlie Scovill. All images by and courtesy of Jen Stark, shared with permission
An immersive e… [+2322 chars]",0.133,0.0,0.867,0.5994
